dt,src_ip,src_port,event,user,session,modo,last_ms,avg_ms,ok_total,err_total,ts
2026-02-07 13:44:19,192.168.0.5,59612,stop,,0,NIVEL 1,,,0,0,4901
2026-02-07 13:44:26,192.168.0.5,59612,start,,1,NIVEL 1,,,,,11711
2026-02-07 13:44:29,192.168.0.5,59612,err,,1,NIVEL 1,2311,,0,1,14748
2026-02-07 13:44:37,192.168.0.5,59612,err,,1,NIVEL 1,5855,,0,2,22902
2026-02-07 13:44:44,192.168.0.5,59612,ok,,1,NIVEL 1,1564,1564,1,2,29623
2026-02-07 13:44:50,192.168.0.5,59612,stop,,1,NIVEL 1,,,1,2,35991
2026-02-07 13:49:40,192.168.0.5,59612,start,,2,NIVEL 1,,,,,324379
2026-02-07 13:49:44,192.168.0.5,59612,err,,2,NIVEL 1,4357,,1,3,329460
2026-02-07 13:49:55,192.168.0.5,59612,ok,,2,NIVEL 1,8439,5001,2,3,340133
2026-02-07 13:49:57,192.168.0.5,59612,ok,,2,NIVEL 1,340,3447,3,3,342713
2026-02-07 13:50:32,192.168.0.5,59612,stop,,2,NIVEL 1,,,3,3,377796
2026-02-07 14:03:53,192.168.0.5,59056,stop,,0,NIVEL 1,,,0,0,4898
2026-02-07 14:04:00,192.168.0.5,59056,start,,1,NIVEL 1,,,,,12525
2026-02-07 14:04:05,192.168.0.5,59056,err,,1,NIVEL 1,3678,,0,1,16929
2026-02-07 14:04:12,192.168.0.5,59056,ok,,1,NIVEL 1,5171,5171,1,1,24331
2026-02-07 14:04:14,192.168.0.5,59056,err,,1,NIVEL 1,476,,1,2,26641
2026-02-07 14:12:05,192.168.0.5,59056,stop,,1,NIVEL 1,,,1,2,496814
2026-02-07 14:12:11,192.168.0.5,59056,start,,2,MEMORIA,,,,,502802
2026-02-07 14:12:24,192.168.0.5,59056,stop,,2,MEMORIA,,,1,2,516541
2026-02-07 14:13:11,192.168.0.5,59056,start,,3,MEMORIA,,,,,563166
2026-02-07 14:13:15,192.168.0.5,59056,err,,3,MEMORIA,1161,,1,3,567546
2026-02-07 14:13:22,192.168.0.5,59056,stop,,3,MEMORIA,,,1,3,574153
2026-02-07 14:18:05,192.168.0.5,59056,stop,,3,MEMORIA,,,1,3,857208
2026-02-07 14:18:11,192.168.0.5,59056,start,,4,MEMORIA,,,,,863496
2026-02-07 14:18:20,192.168.0.5,59056,err,,4,MEMORIA,5736,,1,4,872452
2026-02-07 14:18:26,192.168.0.5,59056,err,,4,MEMORIA,477,,1,5,877655
2026-02-07 14:18:31,192.168.0.5,59056,stop,,4,MEMORIA,,,1,5,883582
2026-02-07 14:18:36,192.168.0.5,59056,start,,5,MEMORIA RAPIDA,,,,,888486
2026-02-07 14:18:41,192.168.0.5,59056,err,,5,MEMORIA RAPIDA,2891,,1,6,893297
2026-02-07 14:18:46,192.168.0.5,59056,err,,5,MEMORIA RAPIDA,1849,,1,7,898573
2026-02-07 14:18:53,192.168.0.5,59056,stop,,5,MEMORIA RAPIDA,,,1,7,905321
2026-02-07 14:44:30,192.168.0.5,61602,stop,,0,NIVEL 1,,,0,0,4967
2026-02-07 14:44:35,192.168.0.5,61602,start,,1,NIVEL 1,,,,,9941
2026-02-07 14:45:06,192.168.0.5,61602,err,,1,NIVEL 1,30690,,0,1,41360
2026-02-07 14:45:14,192.168.0.5,61602,err,,1,NIVEL 1,5854,,0,2,49445
2026-02-07 14:45:19,192.168.0.5,61602,ok,,1,NIVEL 1,1904,1904,1,2,54057
2026-02-07 14:45:24,192.168.0.5,61602,err,,1,NIVEL 1,3947,,1,3,59839
2026-02-07 14:45:27,192.168.0.5,61602,stop,,1,NIVEL 1,,,1,3,62586
2026-02-07 14:50:00,192.168.0.5,61602,start,,2,NIVEL 1,,,,,335798
2026-02-07 14:50:33,192.168.0.5,61602,stop,,2,NIVEL 1,,,1,3,367994
2026-02-07 14:52:47,192.168.0.5,61602,start,,3,NIVEL 1,,,,,502282
2026-02-07 14:52:49,192.168.0.5,61602,ok,,3,NIVEL 1,1496,1700,2,3,504503
2026-02-07 14:52:53,192.168.0.5,61602,ok,,3,NIVEL 1,1428,1609,3,3,507965
2026-02-07 14:52:54,192.168.0.5,61602,stop,,3,NIVEL 1,,,3,3,509700
2026-02-07 15:04:41,192.168.0.5,61602,start,,4,NIVEL 1,,,,,1216454
2026-02-07 15:05:29,192.168.0.5,61602,err,,4,NIVEL 1,47642,,3,4,1264821
2026-02-07 15:05:34,192.168.0.5,61602,err,,4,NIVEL 1,2245,,3,5,1269365
2026-02-07 15:05:38,192.168.0.5,61602,ok,,4,NIVEL 1,1496,1581,4,5,1273501
2026-02-07 15:05:40,192.168.0.5,61602,stop,,4,NIVEL 1,,,4,5,1275440
2026-02-07 15:22:42,192.168.0.5,61602,start,,5,NIVEL 1,,,,,2297427
2026-02-07 15:22:48,192.168.0.5,61602,stop,,5,NIVEL 1,,,4,5,2303637
2026-02-07 15:22:57,192.168.0.5,61602,start,,6,NIVEL 1,,,,,2312146
2026-02-07 15:23:05,192.168.0.5,61602,ok,,6,NIVEL 1,7554,2775,5,5,2320424
